Home Team,Away Team,Date,Result,Prediction,Correct?,Bet Result,Total,spread
Orlando Magic,New York Knicks,2021-10-22,W,1,True,125.0,125.0,4.5
Cleveland Cavaliers,Charlotte Hornets,2021-10-22,-,1,False,0,125.0,0
Washington Wizards,Indiana Pacers,2021-10-22,W,1,True,110.0,235.0,2.0
Boston Celtics,Toronto Raptors,2021-10-22,W,1,True,72,307.0,8.0
Philadelphia 76ers,Brooklyn Nets,2021-10-22,L,0,True,0,307.0,1.0
Houston Rockets,Oklahoma City Thunder,2021-10-22,L,1,False,-100,207.0,3.0
Chicago Bulls,New Orleans Pelicans,2021-10-22,W,0,False,0,207.0,6.5
Denver Nuggets,San Antonio Spurs,2021-10-22,W,1,True,80,287.0,8.0
Los Angeles Lakers,Phoenix Suns,2021-10-22,W,1,True,83,370.0,3.0
Sacramento Kings,Utah Jazz,2021-10-22,W,1,True,110.0,480.0,6.0
Cleveland Cavaliers,Atlanta Hawks,2021-10-23,L,1,False,-100,380.0,3.0
Indiana Pacers,Miami Heat,2021-10-23,L,1,False,-100,280.0,3.0
Toronto Raptors,Dallas Mavericks,2021-10-23,W,1,True,83,363.0,3.5
Minnesota Timberwolves,New Orleans Pelicans,2021-10-23,W,0,False,0,363.0,6.0
Chicago Bulls,Detroit Pistons,2021-10-23,W,0,False,0,363.0,9.0
San Antonio Spurs,Milwaukee Bucks,2021-10-23,W,1,True,120.0,483.0,7.5
Portland Trail Blazers,Phoenix Suns,2021-10-23,L,1,False,-100,383.0,2.0
LA Clippers,Memphis Grizzlies,2021-10-23,-,1,False,0,383.0,0
Brooklyn Nets,Charlotte Hornets,2021-10-24,-,1,False,0,383.0,0
New York Knicks,Orlando Magic,2021-10-24,L,0,True,0,383.0,12.0
Houston Rockets,Boston Celtics,2021-10-24,W,1,True,100.0,483.0,6.0
Oklahoma City Thunder,Philadelphia 76ers,2021-10-24,W,1,True,90,573.0,7.5
Sacramento Kings,Golden State Warriors,2021-10-24,W,1,True,110.0,683.0,3.0
Los Angeles Lakers,Memphis Grizzlies,2021-10-24,W,1,True,105.0,788.0,6.0
Indiana Pacers,Milwaukee Bucks,2021-10-25,W,1,True,83,871.0,10.5
Charlotte Hornets,Boston Celtics,2021-10-25,-,1,False,0,871.0,0
Miami Heat,Orlando Magic,2021-10-25,W,0,False,0,871.0,14.0
Toronto Raptors,Chicago Bulls,2021-10-25,W,1,True,100.0,971.0,2.5
Atlanta Hawks,Detroit Pistons,2021-10-25,W,0,False,0,971.0,10.5
Brooklyn Nets,Washington Wizards,2021-10-25,L,1,False,-100,871.0,7.5
Minnesota Timberwolves,New Orleans Pelicans,2021-10-25,W,1,True,72,943.0,5.5
Denver Nuggets,Cleveland Cavaliers,2021-10-25,W,1,True,83,1026.0,10.5
LA Clippers,Portland Trail Blazers,2021-10-25,-,1,False,0,1026.0,0
New York Knicks,Philadelphia 76ers,2021-10-26,L,1,False,-100,926.0,1.0
Oklahoma City Thunder,Golden State Warriors,2021-10-26,W,1,True,83,1009.0,9.0
Dallas Mavericks,Houston Rockets,2021-10-26,W,1,True,83,1092.0,11.0
San Antonio Spurs,Los Angeles Lakers,2021-10-26,W,1,True,125.0,1217.0,4.5
Utah Jazz,Denver Nuggets,2021-10-26,W,0,False,0,1217.0,7.0
Orlando Magic,Charlotte Hornets,2021-10-27,-,1,False,0,1217.0,0
Brooklyn Nets,Miami Heat,2021-10-27,W,1,True,83,1300.0,5.0
Toronto Raptors,Indiana Pacers,2021-10-27,L,1,False,-100,1200.0,1.5
New Orleans Pelicans,Atlanta Hawks,2021-10-27,W,1,True,72,1272.0,5.5
Boston Celtics,Washington Wizards,2021-10-27,W,1,True,120.0,1392.0,4.5
Oklahoma City Thunder,Los Angeles Lakers,2021-10-27,W,1,True,125.0,1517.0,9.0
Milwaukee Bucks,Minnesota Timberwolves,2021-10-27,W,1,True,83,1600.0,7.0
Phoenix Suns,Sacramento Kings,2021-10-27,W,1,True,83,1683.0,8.5
Portland Trail Blazers,Memphis Grizzlies,2021-10-27,L,1,False,-100,1583.0,4.5
LA Clippers,Cleveland Cavaliers,2021-10-27,-,1,False,0,1583.0,0
Philadelphia 76ers,Detroit Pistons,2021-10-28,W,1,True,110.0,1693.0,10.5
Washington Wizards,Atlanta Hawks,2021-10-28,L,1,False,-100,1593.0,2.5
Chicago Bulls,New York Knicks,2021-10-28,W,1,True,120.0,1713.0,4.0
Houston Rockets,Utah Jazz,2021-10-28,W,1,True,90,1803.0,9.0
Dallas Mavericks,San Antonio Spurs,2021-10-28,W,1,True,90,1893.0,6.0
Golden State Warriors,Memphis Grizzlies,2021-10-28,L,0,True,0,1893.0,5.0
Toronto Raptors,Orlando Magic,2021-10-29,W,1,True,120.0,2013.0,7.0
Miami Heat,Charlotte Hornets,2021-10-29,-,0,False,0,2013.0,0
Brooklyn Nets,Indiana Pacers,2021-10-29,W,1,True,72,2085.0,9.0
New Orleans Pelicans,Sacramento Kings,2021-10-29,W,1,True,115.0,2200.0,1.0
Portland Trail Blazers,LA Clippers,2021-10-29,-,1,False,0,2200.0,0
Denver Nuggets,Dallas Mavericks,2021-10-29,L,1,False,-100,2100.0,1.5
Los Angeles Lakers,Cleveland Cavaliers,2021-10-29,L,1,False,-100,2000.0,8.0
Washington Wizards,Boston Celtics,2021-10-30,W,0,False,0,2000.0,1.5
Detroit Pistons,Orlando Magic,2021-10-30,L,1,False,-100,1900.0,5.5
New Orleans Pelicans,New York Knicks,2021-10-30,W,1,True,120.0,2020.0,4.5
Indiana Pacers,Toronto Raptors,2021-10-30,W,1,True,110.0,2130.0,3.5
Philadelphia 76ers,Atlanta Hawks,2021-10-30,L,1,False,-100,2030.0,3.0
Chicago Bulls,Utah Jazz,2021-10-30,L,1,False,-100,1930.0,4.5
Milwaukee Bucks,San Antonio Spurs,2021-10-30,W,1,True,83,2013.0,7.0
Memphis Grizzlies,Miami Heat,2021-10-30,W,1,True,90,2103.0,2.0
Golden State Warriors,Oklahoma City Thunder,2021-10-30,W,0,False,0,2103.0,12.5
Minnesota Timberwolves,Denver Nuggets,2021-10-30,W,1,True,120.0,2223.0,2.5
Phoenix Suns,Cleveland Cavaliers,2021-10-30,W,1,True,90,2313.0,9.5
Dallas Mavericks,Sacramento Kings,2021-10-31,L,1,False,-100,2213.0,4.5
Charlotte Hornets,Portland Trail Blazers,2021-10-31,-,1,False,0,2213.0,0
Milwaukee Bucks,Utah Jazz,2021-10-31,W,1,True,125.0,2338.0,1.0
Brooklyn Nets,Detroit Pistons,2021-10-31,W,0,False,0,2338.0,12.5
Los Angeles Lakers,Houston Rockets,2021-10-31,W,1,True,120.0,2458.0,12.0
Charlotte Hornets,Cleveland Cavaliers,2021-11-01,-,1,False,0,2458.0,0
Philadelphia 76ers,Portland Trail Blazers,2021-11-01,L,1,False,-100,2358.0,6.5
Indiana Pacers,San Antonio Spurs,2021-11-01,L,1,False,-100,2258.0,3.5
New York Knicks,Toronto Raptors,2021-11-01,W,1,True,72,2330.0,7.0
Atlanta Hawks,Washington Wizards,2021-11-01,L,1,False,-100,2230.0,6.0
Boston Celtics,Chicago Bulls,2021-11-01,W,1,True,120.0,2350.0,2.0
Memphis Grizzlies,Denver Nuggets,2021-11-01,L,1,False,-100,2250.0,1.5
Minnesota Timberwolves,Orlando Magic,2021-11-01,W,1,True,110.0,2360.0,9.0
LA Clippers,Oklahoma City Thunder,2021-11-01,-,1,False,0,2360.0,0
Detroit Pistons,Milwaukee Bucks,2021-11-02,W,1,True,83,2443.0,4.5
Dallas Mavericks,Miami Heat,2021-11-02,W,1,True,115.0,2558.0,2.0
Utah Jazz,Sacramento Kings,2021-11-02,W,1,True,72,2630.0,10.0
Phoenix Suns,New Orleans Pelicans,2021-11-02,L,1,False,-100,2530.0,11.5
Los Angeles Lakers,Houston Rockets,2021-11-02,W,1,True,72,2602.0,11.0
Cleveland Cavaliers,Portland Trail Blazers,2021-11-03,W,1,True,83,2685.0,4.5
Orlando Magic,Boston Celtics,2021-11-03,W,1,True,72,2757.0,6.5
Washington Wizards,Toronto Raptors,2021-11-03,W,1,True,110.0,2867.0,3.0
Philadelphia 76ers,Chicago Bulls,2021-11-03,L,1,False,-100,2767.0,2.5
Indiana Pacers,New York Knicks,2021-11-03,L,1,False,-100,2667.0,0.0
Brooklyn Nets,Atlanta Hawks,2021-11-03,L,1,False,-100,2567.0,4.5
Memphis Grizzlies,Denver Nuggets,2021-11-03,L,1,False,-100,2467.0,1.0
Minnesota Timberwolves,LA Clippers,2021-11-03,-,1,False,0,2467.0,0
San Antonio Spurs,Dallas Mavericks,2021-11-03,W,1,True,90,2557.0,1.0
Sacramento Kings,New Orleans Pelicans,2021-11-03,L,1,False,-100,2457.0,5.5
Golden State Warriors,Charlotte Hornets,2021-11-03,-,0,False,0,2457.0,0
Detroit Pistons,Philadelphia 76ers,2021-11-04,W,1,True,72,2529.0,5.5
Atlanta Hawks,Utah Jazz,2021-11-04,W,1,True,115.0,2644.0,0.0
Miami Heat,Boston Celtics,2021-11-04,W,1,True,125.0,2769.0,6.0
Phoenix Suns,Houston Rockets,2021-11-04,W,0,False,0,2769.0,10.5
Los Angeles Lakers,Oklahoma City Thunder,2021-11-04,W,1,True,83,2852.0,13.0
Orlando Magic,San Antonio Spurs,2021-11-05,W,1,True,100.0,2952.0,5.0
Detroit Pistons,Brooklyn Nets,2021-11-05,W,1,True,100.0,3052.0,9.5
Washington Wizards,Memphis Grizzlies,2021-11-05,W,0,False,0,3052.0,0.0
Milwaukee Bucks,New York Knicks,2021-11-05,W,1,True,80,3132.0,5.5
Toronto Raptors,Cleveland Cavaliers,2021-11-05,W,1,True,105.0,3237.0,6.0
Minnesota Timberwolves,LA Clippers,2021-11-05,-,1,False,0,3237.0,0
Golden State Warriors,New Orleans Pelicans,2021-11-05,W,0,False,0,3237.0,3.0
Sacramento Kings,Charlotte Hornets,2021-11-05,-,1,False,0,3237.0,0
Portland Trail Blazers,Indiana Pacers,2021-11-05,W,1,True,115.0,3352.0,4.5
Denver Nuggets,Houston Rockets,2021-11-06,L,0,True,0,3352.0,10.5
Miami Heat,Utah Jazz,2021-11-06,W,1,True,115.0,3467.0,3.5
Chicago Bulls,Philadelphia 76ers,2021-11-06,W,1,True,90,3557.0,3.0
Dallas Mavericks,Boston Celtics,2021-11-06,W,1,True,115.0,3672.0,5.5
Phoenix Suns,Atlanta Hawks,2021-11-06,L,0,True,0,3672.0,5.0
Portland Trail Blazers,Los Angeles Lakers,2021-11-06,W,0,False,0,3672.0,5.0
Toronto Raptors,Brooklyn Nets,2021-11-07,W,1,True,125.0,3797.0,4.0
Sacramento Kings,Indiana Pacers,2021-11-07,W,1,True,105.0,3902.0,2.0
New York Knicks,Cleveland Cavaliers,2021-11-07,W,1,True,83,3985.0,7.5
Orlando Magic,Utah Jazz,2021-11-07,W,1,True,115.0,4100.0,11.5
Washington Wizards,Milwaukee Bucks,2021-11-07,L,1,False,-100,4000.0,3.0
Oklahoma City Thunder,San Antonio Spurs,2021-11-07,W,1,True,120.0,4120.0,5.5
Golden State Warriors,Houston Rockets,2021-11-07,W,1,True,110.0,4230.0,13.0
LA Clippers,Charlotte Hornets,2021-11-07,-,1,False,0,4230.0,0
Philadelphia 76ers,New York Knicks,2021-11-08,W,1,True,80,4310.0,4.5
Chicago Bulls,Brooklyn Nets,2021-11-08,L,1,False,-100,4210.0,1.5
Memphis Grizzlies,Minnesota Timberwolves,2021-11-08,L,1,False,-100,4110.0,6.0
Dallas Mavericks,New Orleans Pelicans,2021-11-08,W,0,False,0,4110.0,9.0
Denver Nuggets,Miami Heat,2021-11-08,L,1,False,-100,4010.0,0.0
Golden State Warriors,Atlanta Hawks,2021-11-08,W,0,False,0,4010.0,3.5
Sacramento Kings,Phoenix Suns,2021-11-08,W,1,True,120.0,4130.0,3.0
Los Angeles Lakers,Charlotte Hornets,2021-11-08,-,1,False,0,4130.0,0
Philadelphia 76ers,Milwaukee Bucks,2021-11-09,W,1,True,72,4202.0,6.5
Utah Jazz,Atlanta Hawks,2021-11-09,W,0,False,0,4202.0,7.5
LA Clippers,Portland Trail Blazers,2021-11-09,-,0,False,0,4202.0,0
Cleveland Cavaliers,Washington Wizards,2021-11-10,L,0,True,0,4202.0,3.0
Orlando Magic,Brooklyn Nets,2021-11-10,W,1,True,83,4285.0,9.0
Boston Celtics,Toronto Raptors,2021-11-10,L,1,False,-100,4185.0,2.0
New York Knicks,Milwaukee Bucks,2021-11-10,W,1,True,125.0,4310.0,1.5
Houston Rockets,Detroit Pistons,2021-11-10,W,1,True,105.0,4415.0,3.5
Memphis Grizzlies,Charlotte Hornets,2021-11-10,-,1,False,0,4415.0,0
New Orleans Pelicans,Oklahoma City Thunder,2021-11-10,W,1,True,83,4498.0,4.5
Chicago Bulls,Dallas Mavericks,2021-11-10,L,1,False,-100,4398.0,3.0
San Antonio Spurs,Sacramento Kings,2021-11-10,L,1,False,-100,4298.0,1.5
Phoenix Suns,Portland Trail Blazers,2021-11-10,L,1,False,-100,4198.0,6.0
Denver Nuggets,Indiana Pacers,2021-11-10,W,1,True,110.0,4308.0,3.0
Golden State Warriors,Minnesota Timberwolves,2021-11-10,W,0,False,0,4308.0,8.0
Los Angeles Lakers,Miami Heat,2021-11-10,W,1,True,115.0,4423.0,3.0
Philadelphia 76ers,Toronto Raptors,2021-11-11,W,1,True,83,4506.0,2.0
Utah Jazz,Indiana Pacers,2021-11-11,W,1,True,80,4586.0,9.0
LA Clippers,Miami Heat,2021-11-11,-,1,False,0,4586.0,0
Charlotte Hornets,New York Knicks,2021-11-12,-,0,False,0,4586.0,0
Cleveland Cavaliers,Detroit Pistons,2021-11-12,L,1,False,-100,4486.0,5.0
Boston Celtics,Milwaukee Bucks,2021-11-12,W,0,False,0,4486.0,2.0
Houston Rockets,Portland Trail Blazers,2021-11-12,W,1,True,120.0,4606.0,6.5
New Orleans Pelicans,Brooklyn Nets,2021-11-12,W,1,True,90,4696.0,7.5
Memphis Grizzlies,Phoenix Suns,2021-11-12,W,1,True,83,4779.0,1.0
Oklahoma City Thunder,Sacramento Kings,2021-11-12,W,1,True,72,4851.0,4.5
San Antonio Spurs,Dallas Mavericks,2021-11-12,W,1,True,110.0,4961.0,1.5
Denver Nuggets,Atlanta Hawks,2021-11-12,L,1,False,-100,4861.0,4.5
Golden State Warriors,Chicago Bulls,2021-11-12,L,1,False,-100,4761.0,4.5
Los Angeles Lakers,Minnesota Timberwolves,2021-11-12,W,1,True,72,4833.0,4.5
Utah Jazz,Miami Heat,2021-11-13,W,1,True,125.0,4958.0,7.5
Orlando Magic,Washington Wizards,2021-11-13,W,1,True,72,5030.0,2.0
Indiana Pacers,Philadelphia 76ers,2021-11-13,L,1,False,-100,4930.0,2.5
New Orleans Pelicans,Memphis Grizzlies,2021-11-13,L,1,False,-100,4830.0,7.0
Toronto Raptors,Detroit Pistons,2021-11-13,W,1,True,72,4902.0,9.5
Cleveland Cavaliers,Boston Celtics,2021-11-13,W,1,True,90,4992.0,3.5
LA Clippers,Minnesota Timberwolves,2021-11-13,-,0,False,0,4992.0,0
Los Angeles Lakers,San Antonio Spurs,2021-11-14,L,1,False,-100,4892.0,2.5
Atlanta Hawks,Milwaukee Bucks,2021-11-14,L,1,False,-100,4792.0,0.0
Charlotte Hornets,Golden State Warriors,2021-11-14,-,1,False,0,4792.0,0
Houston Rockets,Phoenix Suns,2021-11-14,W,1,True,90,4882.0,9.0
Oklahoma City Thunder,Brooklyn Nets,2021-11-14,W,1,True,110.0,4992.0,9.5
Denver Nuggets,Portland Trail Blazers,2021-11-14,W,0,False,0,4992.0,4.0
LA Clippers,Chicago Bulls,2021-11-14,-,0,False,0,4992.0,0
Washington Wizards,New Orleans Pelicans,2021-11-15,W,0,False,0,4992.0,2.5
Cleveland Cavaliers,Boston Celtics,2021-11-15,W,1,True,83,5075.0,1.5
Detroit Pistons,Sacramento Kings,2021-11-15,W,1,True,83,5158.0,4.5
New York Knicks,Indiana Pacers,2021-11-15,L,1,False,-100,5058.0,3.0
Atlanta Hawks,Orlando Magic,2021-11-15,L,1,False,-100,4958.0,11.0
Memphis Grizzlies,Houston Rockets,2021-11-15,L,1,False,-100,4858.0,11.0
Dallas Mavericks,Denver Nuggets,2021-11-15,L,1,False,-100,4758.0,4.0
Minnesota Timberwolves,Phoenix Suns,2021-11-15,W,1,True,120.0,4878.0,3.0
Oklahoma City Thunder,Miami Heat,2021-11-15,W,1,True,105.0,4983.0,9.0
Portland Trail Blazers,Toronto Raptors,2021-11-15,L,1,False,-100,4883.0,1.5
Los Angeles Lakers,Chicago Bulls,2021-11-15,W,1,True,80,4963.0,1.0
Brooklyn Nets,Golden State Warriors,2021-11-16,W,1,True,110.0,5073.0,3.5
Utah Jazz,Philadelphia 76ers,2021-11-16,L,1,False,-100,4973.0,9.0
LA Clippers,San Antonio Spurs,2021-11-16,-,0,False,0,4973.0,0
Detroit Pistons,Indiana Pacers,2021-11-17,L,1,False,-100,4873.0,6.5
Charlotte Hornets,Washington Wizards,2021-11-17,-,1,False,0,4873.0,0
Miami Heat,New Orleans Pelicans,2021-11-17,W,0,False,0,4873.0,8.5
New York Knicks,Orlando Magic,2021-11-17,W,1,True,83,4956.0,11.5
Brooklyn Nets,Cleveland Cavaliers,2021-11-17,W,1,True,80,5036.0,13.0
Atlanta Hawks,Boston Celtics,2021-11-17,L,1,False,-100,4936.0,6.0
Milwaukee Bucks,Los Angeles Lakers,2021-11-17,W,1,True,72,5008.0,7.5
Oklahoma City Thunder,Houston Rockets,2021-11-17,L,1,False,-100,4908.0,3.5
Minnesota Timberwolves,Sacramento Kings,2021-11-17,L,1,False,-100,4808.0,3.0
Phoenix Suns,Dallas Mavericks,2021-11-17,W,0,False,0,4808.0,5.5
Portland Trail Blazers,Chicago Bulls,2021-11-17,L,1,False,-100,4708.0,3.0
Miami Heat,Washington Wizards,2021-11-18,L,1,False,-100,4608.0,7.0
Cleveland Cavaliers,Golden State Warriors,2021-11-18,W,1,True,100.0,4708.0,8.5
Minnesota Timberwolves,San Antonio Spurs,2021-11-18,L,1,False,-100,4608.0,1.5
Memphis Grizzlies,LA Clippers,2021-11-18,-,1,False,0,4608.0,0
Denver Nuggets,Philadelphia 76ers,2021-11-18,W,1,True,83,4691.0,8.0
Utah Jazz,Toronto Raptors,2021-11-18,W,0,False,0,4691.0,9.0
Charlotte Hornets,Indiana Pacers,2021-11-19,-,0,False,0,4691.0,0
Detroit Pistons,Golden State Warriors,2021-11-19,W,1,True,115.0,4806.0,10.5
Boston Celtics,Los Angeles Lakers,2021-11-19,L,1,False,-100,4706.0,2.0
Brooklyn Nets,Orlando Magic,2021-11-19,W,1,True,80,4786.0,12.5
Milwaukee Bucks,Oklahoma City Thunder,2021-11-19,W,1,True,100.0,4886.0,12.5
New Orleans Pelicans,LA Clippers,2021-11-19,-,1,False,0,4886.0,0
Denver Nuggets,Chicago Bulls,2021-11-19,W,1,True,90,4976.0,4.0
Phoenix Suns,Dallas Mavericks,2021-11-19,W,0,False,0,4976.0,7.5
Sacramento Kings,Toronto Raptors,2021-11-19,W,1,True,100.0,5076.0,4.0
New York Knicks,Houston Rockets,2021-11-20,W,1,True,72,5148.0,11.0
Indiana Pacers,New Orleans Pelicans,2021-11-20,L,1,False,-100,5048.0,7.5
Washington Wizards,Miami Heat,2021-11-20,L,1,False,-100,4948.0,1.5
Atlanta Hawks,Charlotte Hornets,2021-11-20,-,1,False,0,4948.0,0
Boston Celtics,Oklahoma City Thunder,2021-11-20,W,1,True,105.0,5053.0,10.5
Minnesota Timberwolves,Memphis Grizzlies,2021-11-20,L,1,False,-100,4953.0,1.0
Milwaukee Bucks,Orlando Magic,2021-11-20,W,1,True,100.0,5053.0,11.5
Sacramento Kings,Utah Jazz,2021-11-20,W,1,True,105.0,5158.0,7.0
Portland Trail Blazers,Philadelphia 76ers,2021-11-20,L,1,False,-100,5058.0,6.0
LA Clippers,Dallas Mavericks,2021-11-21,-,1,False,0,5058.0,0
Detroit Pistons,Los Angeles Lakers,2021-11-21,W,1,True,83,5141.0,7.5
Phoenix Suns,Denver Nuggets,2021-11-21,W,0,False,0,5141.0,7.5
Chicago Bulls,New York Knicks,2021-11-21,W,0,False,0,5141.0,5.5
Golden State Warriors,Toronto Raptors,2021-11-21,W,0,False,0,5141.0,7.5
Cleveland Cavaliers,Brooklyn Nets,2021-11-22,W,1,True,83,5224.0,7.5
Washington Wizards,Charlotte Hornets,2021-11-22,-,1,False,0,5224.0,0
Atlanta Hawks,Oklahoma City Thunder,2021-11-22,L,1,False,-100,5124.0,11.0
Boston Celtics,Houston Rockets,2021-11-22,L,1,False,-100,5024.0,12.5
Chicago Bulls,Indiana Pacers,2021-11-22,W,1,True,90,5114.0,3.5
Milwaukee Bucks,Orlando Magic,2021-11-22,W,0,False,0,5114.0,12.5
New Orleans Pelicans,Minnesota Timberwolves,2021-11-22,W,1,True,110.0,5224.0,2.5
San Antonio Spurs,Phoenix Suns,2021-11-22,W,1,True,80,5304.0,5.5
Utah Jazz,Memphis Grizzlies,2021-11-22,W,1,True,90,5394.0,9.5
Sacramento Kings,Philadelphia 76ers,2021-11-22,W,1,True,80,5474.0,2.5
Detroit Pistons,Miami Heat,2021-11-23,W,1,True,83,5557.0,9.0
New York Knicks,Los Angeles Lakers,2021-11-23,L,1,False,-100,5457.0,3.5
Portland Trail Blazers,Denver Nuggets,2021-11-23,L,1,False,-100,5357.0,5.5
LA Clippers,Dallas Mavericks,2021-11-23,-,1,False,0,5357.0,0
Indiana Pacers,Los Angeles Lakers,2021-11-24,W,1,True,105.0,5462.0,1.5
Cleveland Cavaliers,Phoenix Suns,2021-11-24,W,1,True,110.0,5572.0,6.0
Orlando Magic,Charlotte Hornets,2021-11-24,-,1,False,0,5572.0,0
Boston Celtics,Brooklyn Nets,2021-11-24,W,1,True,120.0,5692.0,0.0
Milwaukee Bucks,Detroit Pistons,2021-11-24,W,0,False,0,5692.0,14.0
Oklahoma City Thunder,Utah Jazz,2021-11-24,W,1,True,105.0,5797.0,12.5
Houston Rockets,Chicago Bulls,2021-11-24,W,1,True,120.0,5917.0,8.5
Minnesota Timberwolves,Miami Heat,2021-11-24,L,1,False,-100,5817.0,2.0
Memphis Grizzlies,Toronto Raptors,2021-11-24,W,1,True,120.0,5937.0,3.5
New Orleans Pelicans,Washington Wizards,2021-11-24,L,1,False,-100,5837.0,3.5
San Antonio Spurs,Atlanta Hawks,2021-11-24,W,1,True,72,5909.0,3.0
Sacramento Kings,Portland Trail Blazers,2021-11-24,L,1,False,-100,5809.0,3.0
Golden State Warriors,Philadelphia 76ers,2021-11-24,W,0,False,0,5809.0,10.5
LA Clippers,Detroit Pistons,2021-11-26,-,1,False,0,5809.0,0
Charlotte Hornets,Minnesota Timberwolves,2021-11-26,-,1,False,0,5809.0,0
New York Knicks,Phoenix Suns,2021-11-26,W,1,True,125.0,5934.0,3.0
Orlando Magic,Chicago Bulls,2021-11-26,W,1,True,120.0,6054.0,8.5
Memphis Grizzlies,Atlanta Hawks,2021-11-26,W,1,True,105.0,6159.0,2.0
Indiana Pacers,Toronto Raptors,2021-11-26,L,1,False,-100,6059.0,3.5
Oklahoma City Thunder,Washington Wizards,2021-11-26,W,1,True,100.0,6159.0,7.5
San Antonio Spurs,Boston Celtics,2021-11-26,L,1,False,-100,6059.0,2.5
Utah Jazz,New Orleans Pelicans,2021-11-26,W,1,True,115.0,6174.0,12.0
Denver Nuggets,Milwaukee Bucks,2021-11-26,W,1,True,115.0,6289.0,3.5
Golden State Warriors,Portland Trail Blazers,2021-11-26,W,0,False,0,6289.0,6.0
